Method,R@5,R@10,R@20,MRR
BM25,0.16166666666666665,0.18166666666666664,0.27166666666666667,0.10502048768225239
BM25 + LLM RERANKER,0.14166666666666666,0.20166666666666663,0.27166666666666667,0.09648290598290597
E5,0.09166666666666667,0.14166666666666666,0.19416666666666665,0.07930020796197267
E5 + LLM RERANKER,0.07166666666666666,0.12166666666666666,0.19416666666666665,0.06452136752136753
SPECTER,0.0225,0.0225,0.0425,0.010538461538461538
SPECTER + LLM RERANKER,0.02,0.0225,0.0425,0.024395604395604394
