,R@5,R@10,R@20,MRR,R@5_std,R@10_std,R@20_std,MRR_std
bm25,0.16166666666666665,0.18166666666666664,0.27166666666666667,0.10502048768225239,0.3497657946556683,0.3680617399899702,0.4238743262388563,0.22796221342377157
e5,0.09166666666666667,0.14166666666666666,0.19416666666666665,0.07930020796197267,0.2739880370462266,0.3292457710856402,0.36889568685168683,0.1927293960894222
specter,0.11333333333333333,0.18333333333333332,0.22333333333333333,0.1078015873015873,0.3026549190084311,0.36855573979159967,0.3994579660823735,0.25704296523895764
full_system,0.11166666666666666,0.19666666666666666,0.295,0.11406838656381614,0.30166666666666664,0.3854146396343092,0.43115155881275286,0.24320293367453374
